,detail_id,order_id,dishes_id,logicprn_name,parent_class_name,dishes_name,itemis_add,counts,amounts,cost,place_order_time,discount_amt,discount_reason,kick_back,add_inprice,add_info,bar_code,picture_file,emp_id_x,emp_id_y,number_consumers,mode,dining_table_id,dining_table_name,expenditure,dishes_count,accounts_payable,use_start_time,check_closed,lock_time,cashier_id,pc_id,order_number,org_id,print_doc_bill_num,lock_table_info,order_status,phone,name
0,2956,417,610062,NA,NA,蒜蓉生蚝,0,1.0,49.0,NA,2016-08-01 11:05:00,NA,NA,NA,0,NA,NA,caipu/104001.jpg,1442,1442,4,,1501,1022,165,5,165,2016/8/1 11:05,,2016/8/1 11:11,,,,330,,,1,18688880641,苗宇怡
1,2958,417,609957,NA,NA,蒙古烤羊腿,0,1.0,48.0,NA,2016-08-01 11:07:00,NA,NA,NA,0,NA,NA,caipu/202003.jpg,1442,1442,4,,1501,1022,165,5,165,2016/8/1 11:05,,2016/8/1 11:11,,,,330,,,1,18688880641,苗宇怡
2,2961,417,609950,NA,NA,大蒜苋菜,0,1.0,30.0,NA,2016-08-01 11:07:00,NA,NA,NA,0,NA,NA,caipu/303001.jpg,1442,1442,4,,1501,1022,165,5,165,2016/8/1 11:05,,2016/8/1 11:11,,,,330,,,1,18688880641,苗宇怡
3,2966,417,610038,NA,NA,芝麻烤紫菜,0,1.0,25.0,NA,2016-08-01 11:11:00,NA,NA,NA,0,NA,NA,caipu/105002.jpg,1442,1442,4,,1501,1022,165,5,165,2016/8/1 11:05,,2016/8/1 11:11,,,,330,,,1,18688880641,苗宇怡
4,2968,417,610003,NA,NA,蒜香包,0,1.0,13.0,NA,2016-08-01 11:11:00,NA,NA,NA,0,NA,NA,caipu/503002.jpg,1442,1442,4,,1501,1022,165,5,165,2016/8/1 11:05,,2016/8/1 11:11,,,,330,,,1,18688880641,苗宇怡
5,1899,301,610019,NA,NA,白斩鸡,0,1.0,88.0,NA,2016-08-01 11:15:00,NA,NA,NA,0,NA,NA,caipu/204002.jpg,1095,1095,3,,1430,1031,321,6,321,2016/8/1 11:15,,2016/8/1 11:31,,,,328,,,1,18688880174,赵颖
6,1902,301,609991,NA,NA,香烤牛排,0,1.0,55.0,NA,2016-08-01 11:19:00,NA,NA,NA,0,NA,NA,caipu/201001.jpg,1095,1095,3,,1430,1031,321,6,321,2016/8/1 11:15,,2016/8/1 11:31,,,,328,,,1,18688880174,赵颖
7,1906,301,609983,NA,NA,干锅田鸡,0,1.0,88.0,NA,2016-08-01 11:22:00,NA,NA,NA,0,NA,NA,caipu/205003.jpg,1095,1095,3,,1430,1031,321,6,321,2016/8/1 11:15,,2016/8/1 11:31,,,,328,,,1,18688880174,赵颖
8,1907,301,609981,NA,NA,桂圆枸杞鸽子汤,0,1.0,48.0,NA,2016-08-01 11:22:00,NA,NA,NA,0,NA,NA,caipu/205001.jpg,1095,1095,3,,1430,1031,321,6,321,2016/8/1 11:15,,2016/8/1 11:31,,,,328,,,1,18688880174,赵颖
9,1908,301,610030,NA,NA,番茄有机花菜,0,1.0,32.0,NA,2016-08-01 11:23:00,NA,NA,NA,0,NA,NA,caipu/304004.jpg,1095,1095,3,,1430,1031,321,6,321,2016/8/1 11:15,,2016/8/1 11:31,,,,328,,,1,18688880174,赵颖
